"","seqid","bg10_id","geoid","geography","acs_year","total_e","total_m","bed_0_e","bed_0_m","bed_1_e","bed_1_m","bed_2_e","bed_2_m","bed_3up_e","bed_3up_m","bd0_pct_e","bd0_pct_m","bd1_pct_e","bd1_pct_m","bd2_pct_e","bd2_pct_m","bd3u_pct_e","bd3u_pct_m"
"1",1,"25001010206","1400000US25001010206","Census Tract 102.06, Barnstable County, Massachusetts","2014-18",4586,179,33,42,684,199,1300,206,2569,446.916017916285,0.00719581334496293,0.9,0.149149585695595,4.3,0.28347143480157,4.4,0.560183166157872,9.5
"2",2,"25001010208","1400000US25001010208","Census Tract 102.08, Barnstable County, Massachusetts","2014-18",3324,103,118,64,480,125,790,144,1936,440.813743124611,0.0354993983152828,1.9,0.144404332129964,3.7,0.237665463297232,4.3,0.582430806257521,13.1
"3",3,"25001010304","1400000US25001010304","Census Tract 103.04, Barnstable County, Massachusetts","2014-18",2654,116,0,12,119,71,581,147,1954,363.155619599265,0,0.5,0.0448379804069329,2.7,0.218914845516202,5.5,0.736247174076865,13.3
"4",4,"25001010306","1400000US25001010306","Census Tract 103.06, Barnstable County, Massachusetts","2014-18",3124,156,0,12,230,147,548,165,2346,319.410516625873,0,0.4,0.0736235595390525,4.7,0.175416133162612,5.2,0.750960307298336,9.5
"5",5,"25001010400","1400000US25001010400","Census Tract 104, Barnstable County, Massachusetts","2014-18",2382,135,0,12,212,75,902,174,1268,292.614093846345,0,0.5,0.0890008396305626,3.1,0.378673383711167,7,0.53232577665827,11.9
"6",6,"25001010500","1400000US25001010500","Census Tract 105, Barnstable County, Massachusetts","2014-18",2917,158,23,37,282,121,524,159,2088,465.138159530011,0.0078848131642098,1.3,0.0966746657524854,4.1,0.179636612958519,5.4,0.715803908124786,15.5
"7",7,"25001010600","1400000US25001010600","Census Tract 106, Barnstable County, Massachusetts","2014-18",2904,145,13,16,210,81,639,147,2042,419.198636656114,0.00447658402203857,0.6,0.0723140495867769,2.8,0.22004132231405,4.9,0.703168044077135,14
"8",8,"25001010700","1400000US25001010700","Census Tract 107, Barnstable County, Massachusetts","2014-18",4285,137,54,59,372,141,1154,208,2705,548.568141144303,0.0126021003500583,1.4,0.0868144690781797,3.3,0.269311551925321,4.8,0.631271878646441,12.6
"9",9,"25001010800","1400000US25001010800","Census Tract 108, Barnstable County, Massachusetts","2014-18",3780,181,12,23,343,135,778,217,2647,509.547974766743,0.00317460317460317,0.6,0.0907407407407407,3.5,0.205820105820106,5.7,0.70026455026455,13.1
"10",10,"25001010900","1400000US25001010900","Census Tract 109, Barnstable County, Massachusetts","2014-18",4151,168,22,36,319,152,1723,270,2087,372.369082700935,0.00529992772825825,0.9,0.0768489520597446,3.6,0.415080703444953,6.3,0.502770416767044,8.7
"11",11,"25001011002","1400000US25001011002","Census Tract 110.02, Barnstable County, Massachusetts","2014-18",3432,104,49,64,222,106,1020,189,2141,352.978502239194,0.0142773892773893,1.9,0.0646853146853147,3.1,0.297202797202797,5.4,0.623834498834499,10.1
"12",12,"25001011100","1400000US25001011100","Census Tract 111, Barnstable County, Massachusetts","2014-18",3010,131,0,12,127,86,641,177,2242,297.201030028618,0,0.4,0.0421926910299003,2.9,0.212956810631229,5.8,0.74485049833887,9.3
"13",13,"25001011200","1400000US25001011200","Census Tract 112, Barnstable County, Massachusetts","2014-18",3603,101,7,12,189,105,907,228,2500,552.933905760748,0.0019428254232584,0.3,0.0524562864279767,2.9,0.251734665556481,6.3,0.693866222592284,15.2
"14",14,"25001011300","1400000US25001011300","Census Tract 113, Barnstable County, Massachusetts","2014-18",2747,91,10,15,166,96,580,147,1991,359.801910046707,0.00364033491081179,0.5,0.0604295595194758,3.5,0.211139424827084,5.3,0.724790680742628,12.9
"15",15,"25001011400","1400000US25001011400","Census Tract 114, Barnstable County, Massachusetts","2014-18",2710,104,30,35,254,108,572,129,1854,273.051882252446,0.011070110701107,1.3,0.0937269372693727,4,0.211070110701107,4.7,0.684132841328413,9.7
"16",16,"25001011500","1400000US25001011500","Census Tract 115, Barnstable County, Massachusetts","2014-18",2751,126,30,48,96,43,931,188,1694,223.647077679601,0.0109051254089422,1.7,0.0348964013086151,1.6,0.338422391857506,6.7,0.615776081424936,7.6
"17",17,"25001011600","1400000US25001011600","Census Tract 116, Barnstable County, Massachusetts","2014-18",4749,112,201,123,614,170,1848,252,2086,302.907630449771,0.0423246999368288,2.6,0.129290376921457,3.6,0.389134554643083,5.2,0.439250368498631,6.3
"18",18,"25001011700","1400000US25001011700","Census Tract 117, Barnstable County, Massachusetts","2014-18",2762,63,24,31,145,76,1001,157,1592,236.184099453646,0.00868935553946416,1.1,0.0524981897175959,2.7,0.362418537291817,5.6,0.576393917451122,8.4
"19",19,"25001011801","1400000US25001011801","Census Tract 118.01, Barnstable County, Massachusetts","2014-18",1586,56,61,68,73,38,669,113,783,154.216908688972,0.0384615384615385,4.3,0.0460277427490542,2.4,0.421815889029004,7,0.493694829760404,9.6
"20",20,"25001011802","1400000US25001011802","Census Tract 118.02, Barnstable County, Massachusetts","2014-18",2328,77,0,12,39,48,723,144,1566,180.886563908679,0,0.5,0.0167525773195876,2.1,0.310567010309278,6.1,0.672680412371134,7.4
"21",21,"25001012001","1400000US25001012001","Census Tract 120.01, Barnstable County, Massachusetts","2014-18",3492,120,50,79,379,169,1457,237,1606,202.012216501612,0.0143184421534937,2.3,0.108533791523482,4.8,0.417239404352806,6.6,0.459908361970218,5.6
