TractIDt,pct3bd_est,pct3bd_moe
25013801101,0.00,0.017
25025980700,1.00,4.269
25023525300,1.00,4.268
25025981502,1.00,4.267
25025010300,0.03,0.086
25017352101,0.00,0.010
25015820600,0.20,0.426
25025990101,1.00,1.322
25027732902,0.64,0.831
25025030200,0.02,0.021
25015820400,0.15,0.161
25025981800,0.81,0.852
25025010103,0.05,0.056
25001990000,999.00,999.000
25005990000,999.00,999.000
25007990000,999.00,999.000
25009990100,999.00,999.000
25015820802,999.00,999.000
25017980000,999.00,999.000
25019990000,999.00,999.000
25023990003,999.00,999.000
25025980101,999.00,999.000
25025980300,999.00,999.000
25025981000,999.00,999.000
25025981201,999.00,999.000
25025981202,999.00,999.000
25025981501,999.00,999.000
25025981600,999.00,999.000
25025981700,999.00,999.000
25027731202,999.00,999.000
25013801102,0.06,0.050
25027731700,0.04,0.031
25017353102,0.13,0.096
25025010408,0.04,0.028
25025981300,0.19,0.125
25013812903,0.79,0.524
25025020301,0.06,0.037
25025010403,0.07,0.047
25017310100,0.05,0.028
25025010203,0.03,0.017
25025020303,0.03,0.019
25025070200,0.08,0.047
25025981100,0.39,0.222
25013811700,0.10,0.051
25025010600,0.08,0.041
25009250100,0.09,0.048
25025010500,0.09,0.045
25025000504,0.09,0.043
25025070101,0.07,0.033
25015822000,0.17,0.079
25005651800,0.12,0.057
25025020302,0.11,0.052
25025060600,0.10,0.045
25025071101,0.13,0.057
25025030300,0.07,0.031
25025070800,0.10,0.045
25009206900,0.16,0.070
25025030100,0.12,0.052
25027710700,0.12,0.052
25025000503,0.08,0.036
25021417300,0.11,0.047
25025010405,0.10,0.043
25025000703,0.10,0.040
25025020200,0.10,0.040
25025010404,0.18,0.072
25005641101,0.19,0.078
25025061101,0.12,0.049
25017352200,0.13,0.053
25025160300,0.11,0.043
25025000803,0.18,0.069
25013801200,0.15,0.056
25017368500,0.18,0.068
25017341300,0.15,0.056
25025071201,0.16,0.061
25025000701,0.21,0.079
25025080401,0.18,0.068
25009251200,0.25,0.092
25025000704,0.17,0.064
25025040801,0.13,0.047
25025030400,0.18,0.064
25009206800,0.22,0.076
25025051200,0.18,0.062
25025130406,0.19,0.064
25025061200,0.12,0.042
25017352600,0.24,0.083
25025010204,0.11,0.036
25025000602,0.24,0.083
25025010104,0.10,0.034
25009260100,0.26,0.086
25025010802,0.12,0.039
25025082100,0.31,0.102
25013801902,0.24,0.081
25025010801,0.17,0.055
25017388300,0.19,0.064
25017353800,0.17,0.056
25025070900,0.18,0.058
25017342400,0.27,0.089
25017352102,0.14,0.047
25021417701,0.15,0.048
25025070700,0.23,0.076
25025050300,0.16,0.051
25023510900,0.25,0.082
25025000401,0.17,0.057
25017352300,0.11,0.037
25025060800,0.25,0.081
25025050400,0.19,0.062
25025170701,0.19,0.060
25009210800,0.24,0.077
25017351500,0.21,0.068
25021417901,0.20,0.065
25025010701,0.16,0.051
25025070300,0.15,0.047
25025030500,0.14,0.045
25027709600,0.30,0.096
25005642100,0.35,0.109
25017353500,0.25,0.077
25025020101,0.19,0.060
25025170501,0.18,0.055
25005641000,0.29,0.089
25017368700,0.32,0.097
25025081300,0.29,0.088
25017382601,0.16,0.049
25003900100,0.20,0.060
25025070600,0.31,0.093
25025081001,0.26,0.080
25017311400,0.22,0.066
25015821200,0.55,0.167
25017353900,0.21,0.061
25005642000,0.34,0.101
25009206700,0.32,0.095
25025010702,0.17,0.051
25009260200,0.31,0.091
25025060400,0.25,0.072
25017339801,0.19,0.056
25009251100,0.27,0.078
25025081800,0.32,0.093
25017354100,0.21,0.060
25005651700,0.31,0.091
25017383101,0.30,0.088
25017351300,0.27,0.079
25017311200,0.39,0.112
25021418003,0.23,0.066
25005651900,0.29,0.082
25009206100,0.25,0.071
25025160502,0.32,0.090
25017350300,0.28,0.080
25017355000,0.23,0.064
25005630101,0.27,0.075
25025170502,0.29,0.080
25017383400,0.41,0.115
25017353700,0.18,0.052
25017370300,0.26,0.072
25009207200,0.36,0.101
25021417601,0.44,0.122
25017354900,0.21,0.058
25025070500,0.17,0.047
25017352500,0.33,0.090
25021456301,0.40,0.110
25025080801,0.40,0.111
25009207000,0.22,0.059
25025180101,0.22,0.059
25025050600,0.32,0.087
25021418101,0.31,0.084
25017354600,0.25,0.069
25025050500,0.29,0.080
25009217400,0.27,0.073
25025160400,0.21,0.057
25027757300,0.29,0.079
25025080300,0.47,0.128
25013811500,0.31,0.085
25025170702,0.43,0.116
25017311900,0.30,0.080
25023561200,0.64,0.174
25025110103,0.38,0.101
25013800800,0.27,0.071
25017310300,0.42,0.112
25027731600,0.29,0.077
25025160601,0.32,0.086
25009204200,0.34,0.090
25025120104,0.27,0.072
25009221500,0.22,0.058
25005631400,0.30,0.079
25013802000,0.38,0.101
25013812202,0.24,0.063
25017352700,0.29,0.077
25017340000,0.33,0.087
25027731203,0.34,0.089
25017341102,0.23,0.061
25025000502,0.11,0.029
25017369000,0.28,0.073
25001015300,0.26,0.067
25025040100,0.24,0.062
25021417802,0.35,0.091
25009204300,0.30,0.078
25009206000,0.31,0.078
25005641300,0.38,0.097
25025060501,0.30,0.076
25025100601,0.37,0.093
25025060301,0.27,0.070
25015821903,0.20,0.051
25017350104,0.32,0.082
25013810901,0.29,0.073
25009251000,0.48,0.120
25025080500,0.33,0.084
25025081100,0.21,0.052
25021400800,0.25,0.063
25025050901,0.38,0.095
25025040401,0.36,0.092
25017350700,0.22,0.056
25025000301,0.40,0.100
25005641200,0.32,0.081
25017368300,0.32,0.081
25023511000,0.52,0.131
25005641500,0.38,0.094
25017341901,0.51,0.127
25009250900,0.35,0.087
25017336401,0.26,0.064
25005631600,0.44,0.109
25023510502,0.27,0.066
25025061000,0.32,0.080
25017353000,0.21,0.051
25025050200,0.41,0.100
25027707200,0.32,0.079
25025000802,0.33,0.081
25005651300,0.29,0.071
25005613800,0.39,0.096
25021400100,0.33,0.081
25025081400,0.28,0.069
25025070402,0.19,0.047
25017350500,0.41,0.099
25025120700,0.30,0.074
25013812001,0.38,0.093
25005631500,0.49,0.118
25025100603,0.36,0.087
25015822402,0.29,0.069
25027732001,0.40,0.097
25025080601,0.30,0.072
25017354300,0.28,0.067
25013801901,0.40,0.095
25013800600,0.44,0.104
25021418002,0.26,0.063
25025060101,0.28,0.066
25017368902,0.22,0.052
25017351204,0.27,0.064
25003900200,0.32,0.075
25025082000,0.38,0.090
25003921400,0.39,0.092
25027730401,0.33,0.077
25009204500,0.29,0.069
25009260900,0.52,0.123
25025081200,0.41,0.097
25027730500,0.27,0.064
25025050700,0.33,0.076
